LUK,20180222,0.4,0.4888,2018,2,22
LUV,20180125,0.825,0.77,2018,1,25
LYB,20180202,2.433,2.7316,2018,2,2
M,20180227,0.256,0.23,2018,2,27
MA,20180201,1.222,1.14,2018,2,1
MAA,20180131,0.515,0.5628,2018,1,31
MAC,20180205,0.15,0.3166,2018,2,5
MAR,20180214,1.126,1.12,2018,2,14
MAS,20180208,0.47,0.44,2018,2,8
MAT,20180201,-0.297,-0.72,2018,2,1
MCD,20180130,1.552,1.71,2018,1,30
MCHP,20180206,1.371,1.2984,2018,2,6
MCK,20180201,3.541,3.41,2018,2,1
MCO,20180209,1.535,1.51,2018,2,9
MDLZ,20180131,0.598,0.57,2018,1,31
MDT,20180220,1.418,1.07,2018,2,20
MET,20180213,1.128,0.64,2018,2,13
MGM,20180220,0.337,0.1083,2018,2,20
MHK,20180208,2.928,3.42,2018,2,8
MLM,20180213,0.888,1.9262,2018,2,13
MMC,20180201,1.157,1.05,2018,2,1
MMM,20180125,2.36,2.1,2018,1,25
MNST,20180228,0.37,0.2328,2018,2,28
MO,20180201,0.833,0.91,2018,2,1
MPC,20180201,0.672,1.04,2018,2,1
MRK,20180202,0.96,0.98,2018,2,2
MRO,20180214,-0.026,0.07,2018,2,14
MS,20180118,1.005,0.84,2018,1,18
MSCI,20180201,1.078,1.15,2018,2,1
MSFT,20180131,0.776,0.96,2018,1,31
MSI,20180201,0.776,1.9419,2018,2,1
MTB,20180118,2.546,2.66,2018,1,18
MTD,20180208,3.613,5.97,2018,2,8
MYL,20180228,1.123,1.43,2018,2,28
NAVI,20180123,0.389,0.43,2018,1,23
NBL,20180220,0.048,0.32,2018,2,20
NCLH,20180222,0.476,0.68,2018,2,22
NDAQ,20180131,1.103,1.05,2018,1,31
NEE,20180126,1.59,1.25,2018,1,26
NEM,20180222,0.323,0.4,2018,2,22
NFLX,20180122,0.591,0.361,2018,1,22
NFX,20180220,0.625,0.71,2018,2,20
NI,20180220,0.718,0.33,2018,2,20
NKTR,20180301,-0.285,-0.148,2018,3,1
NLSN,20180208,0.408,0.6068,2018,2,8
NOV,20180205,0.004,-0.04,2018,2,5
NRG,20180301,0.033,-1.623,2018,3,1
NSC,20180124,1.579,1.69,2018,1,24
NTAP,20180214,0.995,0.6364,2018,2,14
NTRS,20180124,1.416,1.3765,2018,1,24
NUE,20180130,1.216,0.6522,2018,1,30
NVDA,20180208,1.101,1.3408,2018,2,8
NWL,20180216,0.347,0.68,2018,2,16
NWS,20180208,0.098,0.24,2018,2,8
NWSA,20180208,0.098,0.24,2018,2,8
OKE,20180226,0.504,0.1617,2018,2,26
OMC,20180215,1.507,1.55,2018,2,15
ORLY,20180207,3.024,2.9015,2018,2,7
OXY,20180213,0.455,0.41,2018,2,13
PBCT,20180118,0.287,0.31,2018,1,18
PCAR,20180130,1.122,1.18,2018,1,30
PCG,20180209,0.865,0.63,2018,2,9
PEG,20180223,0.945,0.57,2018,2,23
PEP,20180213,1.008,1.31,2018,2,13
PFE,20180130,0.69,0.62,2018,1,30
PFG,20180129,1.338,1.19,2018,1,29
PGR,20180124,0.686,0.8431,2018,1,24
PH,20180201,2.498,2.15,2018,2,1
PHM,20180130,0.475,0.85,2018,1,30
PKG,20180130,1.497,1.56,2018,1,30
PKI,20180125,0.685,0.97,2018,1,25
PLD,20180123,0.395,0.1979,2018,1,23
PM,20180208,1.273,1.31,2018,2,8
PNC,20180112,2.368,2.29,2018,1,12
PNR,20180130,1.11,0.93,2018,1,30
PNW,20180223,0.215,0.1923,2018,2,23
PRGO,20180301,1.242,1.28,2018,3,1
PRU,20180207,2.882,2.69,2018,2,7
PSA,20180220,1.695,1.915,2018,2,20
PSX,20180202,1.257,1.07,2018,2,2
PWR,20180222,0.497,0.3837,2018,2,22
PX,20180125,1.535,1.52,2018,1,25
PXD,20180206,0.77,1.22,2018,2,6
QCOM,20180131,0.861,0.8592,2018,1,31
QRVO,20180131,1.466,1.69,2018,1,31
RCL,20180124,1.109,1.34,2018,1,24
RE,20180205,5.55,13.48,2018,2,5
REG,20180208,0.353,0.3668,2018,2,8
REGN,20180208,3.892,4.3126,2018,2,8
RF,20180119,0.285,0.34,2018,1,19
RHI,20180130,0.745,0.65,2018,1,30
RJF,20180124,1.393,1.61,2018,1,24
RL,20180201,0.686,2.03,2018,2,1
RMD,20180122,0.772,1,2018,1,22
ROK,20180124,1.757,1.96,2018,1,24
ROP,20180202,2.472,2.7,2018,2,2
ROST,20180306,0.894,0.7182,2018,3,6
RRC,20180227,0.309,0.039,2018,2,27
RTN,20180125,1.884,1.94,2018,1,25
SBAC,20180226,0.251,0.1535,2018,2,26
SBUX,20180125,0.494,0.58,2018,1,25
SCG,20180222,1.143,1.01,2018,2,22
SCHW,20180117,0.497,0.4389,2018,1,17
SEE,20180208,0.498,0.58,2018,2,8
SHW,20180125,3.16,3.16,2018,1,25
SIVB,20180125,2.773,2.8263,2018,1,25
SJM,20180216,2.136,2.02,2018,2,16
SLB,20180119,0.503,0.48,2018,1,19
SLG,20180124,0.57,-0.504,2018,1,24
SNA,20180208,2.78,2.69,2018,2,8
SNPS,20180221,0.836,0.2146,2018,2,21
SO,20180221,0.73,0.51,2018,2,21
SPG,20180131,1.578,1.8416,2018,1,31
SPGI,20180206,1.753,1.85,2018,2,6
SRCL,20180221,1.09,1,2018,2,21
SRE,20180227,1.873,1.54,2018,2,27
STI,20180119,1.141,1.09,2018,1,19
STT,20180123,1.918,1.83,2018,1,23
STX,20180129,0.976,1.48,2018,1,29
SWK,20180124,2.164,2.18,2018,1,24
SWKS,20180205,1.66,1.8715,2018,2,5
SYF,20180119,0.789,0.7,2018,1,19
SYK,20180130,1.6,1.96,2018,1,30
SYMC,20180131,0.501,0.2376,2018,1,31
SYY,20180205,0.59,0.78,2018,2,5
T,20180131,0.737,0.78,2018,1,31
TAP,20180214,0.905,0.62,2018,2,14
TEL,20180124,1.301,1.4,2018,1,24
TGT,20180306,1.156,0.91,2018,3,6
TJX,20180228,0.892,1,2018,2,28
TMK,20180207,1.306,1.24,2018,2,7
TPR,20180206,0.483,1.07,2018,2,6
TRIP,20180214,0.158,-0.0791,2018,2,14
TROW,20180130,1.408,1.52,2018,1,30
TRV,20180123,2.444,2.28,2018,1,23
TSCO,20180131,0.498,0.91,2018,1,31
TSN,20180208,1.27,1.81,2018,2,8
TSS,20180123,0.931,0.766,2018,1,23
TTWO,20180207,0.566,0.3141,2018,2,7
TWX,20180201,1.756,2.66,2018,2,1
TXN,20180123,1.08,1.1195,2018,1,23
TXT,20180131,0.658,0.74,2018,1,31
UAL,20180123,2.515,1.4,2018,1,23
UHS,20180228,2.175,2,2018,2,28
UNH,20180116,2.665,2.59,2018,1,16
UNM,20180131,1.08,1.13,2018,1,31
UNP,20180125,1.414,1.53,2018,1,25
UPS,20180201,1.405,1.67,2018,2,1
URI,20180124,2.926,3.34,2018,1,24
USB,20180117,0.938,0.88,2018,1,17
UTX,20180124,1.462,1.6,2018,1,24
V,20180201,0.96,1.08,2018,2,1
VAR,20180124,1.03,1.06,2018,1,24
VFC,20180216,0.606,1.01,2018,2,16
VIAB,20180208,0.729,1.03,2018,2,8
VLO,20180201,1.195,1.16,2018,2,1
VMC,20180216,0.348,0.74,2018,2,16
VNO,20180212,0.3,0.1335,2018,2,12
VRSK,20180220,0.836,1.34,2018,2,20
